original_,original_selleraddress_raw,lat,lon,formatted,name,housenumber,street,district,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
147,"Wilerstrasse 45a, 9545 Wängi",47.49277475,8.974359577102362,"Wilerstrasse 45a, 9545 Wängi, Switzerland",,45a,Wilerstrasse,,,TG,9545,Wängi,Bezirk Münchwilen,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
148,"Dorfstrasse 30, 5624 Bünzen",47.3080494,8.3214255,"Dorfstrasse 30, 5624 Bünzen, Switzerland",,30,Dorfstrasse,,Femelhof,AG,5624,Bünzen,Bezirk Muri,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
149,"Sankt Gallerstrasse 126, 8404 Winterthur",47.498128,8.748453,"St. Gallerstrasse 126, 8404 Winterthur, Switzerland",,126,St. Gallerstrasse,Winterthur,,,8404,Winterthur,Winterthur,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
150,"Sihltalstrasse 111, 8135 Langnau am Albis",47.276936,8.5501657,"Sihltalstrasse 111, 8135 Langnau am Albis, Switzerland",Sihltalstrasse,111,Sihltalstrasse,Unterrengg / Schwyzerhof,,,8135,Langnau am Albis,Bezirk Horgen,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
151,"St. Gallerstrasse 97/99, 9200 Gossau SG",47.4167905,9.2539221,"St. Gallerstrasse, 9200 Gossau (SG), Switzerland",St. Gallerstrasse,,St. Gallerstrasse,,,,9200,Gossau (SG),Wahlkreis St. Gallen,St. Gallen,Switzerland,ch,0.8648648648648649,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
152,"HAUPTSTRASSE 82, 5054 KIRCHLEERAU AG",47.276545,8.061915,"Hauptstrasse 82, 5054 Kirchleerau, Switzerland",,82,Hauptstrasse,Kirchleerau,,AG,5054,Kirchleerau,Zofingen,Aargau,Switzerland,ch,0.3,0.3,0.3,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
153,"St. Gallerstrasse 97/99, 9200 Gossau SG",47.4167905,9.2539221,"St. Gallerstrasse, 9200 Gossau (SG), Switzerland",St. Gallerstrasse,,St. Gallerstrasse,,,,9200,Gossau (SG),Wahlkreis St. Gallen,St. Gallen,Switzerland,ch,0.8648648648648649,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
154,"Marthalerstr. 9, 8463 Benken",47.6511794,8.6527307,"Garage Bolli, Marthalerstrasse 9, 8463 Benken (ZH), Switzerland",Garage Bolli,9,Marthalerstrasse,,,,8463,Benken (ZH),Bezirk Andelfingen,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
155,"Hauptstrasse 29, 5043 Holziken",47.32146805,8.036798962121416,"Hauptstrasse 29, 5043 Holziken, Switzerland",,29,Hauptstrasse,,,AG,5043,Holziken,Bezirk Kulm,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
156,8604 Volketswil,47.3898617,8.690503,"8604 Volketswil, Switzerland",,,,,,,8604,Volketswil,Bezirk Uster,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
157,8803 Rüschlikon,47.307465,8.5546421,"8803 Rüschlikon, Switzerland",,,,,,,8803,Rüschlikon,Bezirk Horgen,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
158,"Sagenbach 20, 6033 Buchrain",47.108672,8.344283,"Am Sagenbach 20, 6033 Buchrain, Switzerland",,20,Am Sagenbach,Buchrain,,,6033,Buchrain,Luzern-Land,Lucerne,Switzerland,ch,0.9,1,0.9,0.9,© OpenAddresses contributors,BSD-3-Clause License,
159,"Eschenstrasse 12, 6020 Emmen",47.0729014,8.288351505508475,"Eschenstrasse 12, 6021 Emmen, Switzerland",,12,Eschenstrasse,Meierhöfli,Emmenbrücke,,6021,Emmen,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
160,"Störenbergstrasse 12, 8265 Mammern",47.6431061,8.914556077399208,"Störenbergstrasse 12, 8265 Mammern, Switzerland",,12,Störenbergstrasse,,,TG,8265,Mammern,Bezirk Frauenfeld,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
161,"Surhardweg 14, 5102 Rupperswil",47.4027283,8.1274477,"5102 Rupperswil, Switzerland",,,,,,AG,5102,Rupperswil,Bezirk Lenzburg,Aargau,Switzerland,ch,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
162,8832 Wollerau,47.1957261,8.7194595,"8832 Wollerau, Switzerland",,,,,,SZ,8832,Wollerau,Höfe,Schwyz,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
163,"Glarnerstrasse 34, 8854 Siebnen",47.1755175,8.9005251,"Glarnerstrasse 34, 8854 Siebnen, Switzerland",Glarnerstrasse,34,Glarnerstrasse,,,SZ,8854,Siebnen,March,Schwyz,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
164,"Emausstrasse 1, 5621 Zufikon",47.3437404,8.352368349999999,"Emausstrasse 1, 5621 Zufikon, Switzerland",,1,Emausstrasse,,Emaus,AG,5621,Zufikon,Bezirk Bremgarten,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
165,"Wägitalstrasse 18, 8854 Siebnen",47.172949,8.897782,"Wägitalstrasse 18, 8854 Siebnen, Switzerland",,18,Wägitalstrasse,Schübelbach,,SZ,8854,Siebnen,March,Schwyz,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
166,"Zurlindenstrasse 218a, 8003 Zürich",47.37510605,8.514455069021583,"Zurlindenstrasse 218a, 8003 Zurich, Switzerland",,218a,Zurlindenstrasse,,Kreis 3,,8003,Zurich,District Zurich,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
167,"Sinserstrasse 400, 6330 Cham ZG",47.196558,8.4350498,"BP, Sinserstrasse 400, 6330 Cham, Switzerland",BP,400,Sinserstrasse,,,ZG,6330,Cham,,Zug,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
168,"Güterstr. 11, 8957 Spreitenbach",47.4284484,8.3600129,"Güterstrasse 11, 8957 Spreitenbach, Switzerland",,11,Güterstrasse,,Spreiti West,AG,8957,Spreitenbach,Bezirk Baden,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
169,"Schäracher 1, 6232 Geuensee",47.19291455,8.112120803736083,"Schäracher 1, 6232 Geuensee, Switzerland",,1,Schäracher,,Eschenhof,,6232,Geuensee,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
170,8951 Fahrweid,47.4083023,8.4134385,"8951 Fahrweid (Weiningen (ZH)), Switzerland",,,,,,,8951,Weiningen (ZH),Bezirk Dietikon,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
171,"Sulzerstrasse 34, 6289 Hämikon",47.236022250000005,8.27741908017462,"Sulzerstrasse 34, 6289 Hämikon, Switzerland",,34,Sulzerstrasse,Dorf,Sonnenhof,,6289,Hämikon,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
